TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19-20
0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,52,56,75
1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,52,56,75
2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,52,56,75
3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,52,56,75
4,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,52,56,75
5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,52,56,75
6,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,52,56,75
7,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,52,56,75
8,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,52,56,75
9,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,52,56,75
10,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,52,56,60,78
11,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,52,56,60,78
12,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,52,56,60,78
13,48,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,56,60,64,81
14,48,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,56,60,64,81
15,48,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,56,60,64,81
16,48,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,56,60,64,81
17,48,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,56,60,64,81
18,52,52,52,52,52,52,52,52,52,52,52,52,52,52,56,56,60,64,68,83
19,52,52,52,52,52,52,52,52,52,52,52,52,52,52,56,56,60,64,68,83
20,56,56,56,56,56,56,56,56,56,56,56,56,56,56,60,60,64,68,71,86
21,60,60,60,60,60,60,60,60,60,60,60,60,60,60,64,64,68,71,75,89
22,60,60,60,60,60,60,60,60,60,60,60,60,60,60,64,64,68,71,75,89
23,64,64,64,64,64,64,64,64,64,64,64,64,64,64,68,68,71,75,78,92
24,64,64,64,64,64,64,64,64,64,64,64,64,64,64,68,68,71,75,78,92
25,68,68,68,68,68,68,68,68,68,68,68,68,68,68,71,71,75,78,81,95
26,68,68,68,68,68,68,68,68,68,68,68,68,68,68,71,71,75,78,81,95
27,71,71,71,71,71,71,71,71,71,71,71,71,71,71,75,75,78,81,84,98
28,71,71,71,71,71,71,71,71,71,71,71,71,71,71,75,75,78,81,84,98
29,75,75,75,75,75,75,75,75,75,75,75,75,75,75,78,78,81,84,86,100
30,75,75,75,75,75,75,75,75,75,75,75,75,75,75,78,78,81,84,86,100
31,78,78,78,78,78,78,78,78,78,78,78,78,78,78,81,81,84,86,88,103
32,78,78,78,78,78,78,78,78,78,78,78,78,78,78,81,81,84,86,88,103
33,81,81,81,81,81,81,81,81,81,81,81,81,81,81,84,84,86,88,91,107
34,81,81,81,81,81,81,81,81,81,81,81,81,81,81,84,84,86,88,91,107
35,84,84,84,84,84,84,84,84,84,84,84,84,84,84,86,86,88,91,94,110
36,86,86,86,86,86,86,86,86,86,86,86,86,86,86,88,88,91,94,97,114
37,88,88,88,88,88,88,88,88,88,88,88,88,88,88,91,91,94,97,100,118
38,88,88,88,88,88,88,88,88,88,88,88,88,88,88,91,91,94,97,100,118
39,91,91,91,91,91,91,91,91,91,91,91,91,91,91,94,94,97,100,102,122
40,91,91,91,91,91,91,91,91,91,91,91,91,91,91,94,94,97,100,102,122
41,94,94,94,94,94,94,94,94,94,94,94,94,94,94,97,97,100,102,104,125
42,97,97,97,97,97,97,97,97,97,97,97,97,97,97,100,100,102,104,108,129
