TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
40,49,49,49,49,49,49,53,60,64,68,75,79,82,85,91,94,97
41,53,53,53,53,53,53,56,64,68,72,79,82,85,88,94,97,100
42,53,53,53,53,53,53,56,64,68,72,79,82,85,88,94,97,100
43,53,53,53,53,53,53,56,64,68,72,79,82,85,88,94,97,100
44,56,56,56,56,56,56,60,68,72,75,82,85,88,91,97,100,103
45,56,56,56,56,56,56,60,68,72,75,82,85,88,91,97,100,103
46,56,56,56,56,56,56,60,68,72,75,82,85,88,91,97,100,103
47,60,60,60,60,60,60,64,72,75,79,85,88,91,94,100,103,106
48,60,60,60,60,60,60,64,72,75,79,85,88,91,94,100,103,106
49,60,60,60,60,60,60,64,72,75,79,85,88,91,94,100,103,106
50,60,60,60,60,60,60,64,72,75,79,85,88,91,94,100,103,106
51,64,64,64,64,64,64,68,75,79,82,88,91,94,97,103,106,109
52,64,64,64,64,64,64,68,75,79,82,88,91,94,97,103,106,109
53,64,64,64,64,64,64,68,75,79,82,88,91,94,97,103,106,109
54,68,68,68,68,68,68,72,79,82,85,91,94,97,100,106,109,112
55,68,68,68,68,68,68,72,79,82,85,91,94,97,100,106,109,112
56,68,68,68,68,68,68,72,79,82,85,91,94,97,100,106,109,112
57,72,72,72,72,72,72,75,82,85,88,94,97,100,103,109,112,115
58,72,72,72,72,72,72,75,82,85,88,94,97,100,103,109,112,115
59,72,72,72,72,72,72,75,82,85,88,94,97,100,103,109,112,115
60,75,75,75,75,75,75,79,85,88,91,97,100,10.3,106,112,115,118
61,75,75,75,75,75,75,79,85,88,91,97,100,103,106,112,115,118
62,79,79,79,79,79,79,82,88,91,94,100,103,106,109,115,118,122
63,79,79,79,79,79,79,82,88,91,94,100,103,106,109,115,118,122
64,79,79,79,79,79,79,82,88,91,94,100,103,106,109,115,118,122
65,82,82,82,82,82,82,85,91,94,97,103,106,109,112,118,122,125
66,82,82,82,82,82,82,85,91,94,97,103,106,109,112,118,122,125
67,85,85,85,85,85,85,88,94,97,100,106,109,112,115,122,125,128
68,85,85,85,85,85,85,88,94,97,100,106,109,112,115,122,125,128
69,88,88,88,88,88,88,91,97,100,103,109,112,115,118,125,128,132
70,88,88,88,88,88,88,91,97,100,103,109,112,115,118,125,128,132
71,88,88,88,88,88,88,91,97,100,103,109,112,115,118,125,128,132
72,88,88,88,88,88,88,91,97,100,103,109,112,115,118,125,128,132
73,91,91,91,91,91,91,94,100,103,106,112,115,118,122,128,132,135
74,91,91,91,91,91,91,94,100,103,106,112,115,118,122,128,132,135
75,94,94,94,94,94,94,97,103,106,109,115,118,122,125,132,135,138
76,94,94,94,94,94,94,97,103,106,109,115,118,122,125,132,135,138
77,94,94,94,94,94,94,97,103,106,109,115,118,122,125,132,135,138
78,97,97,97,97,97,97,100,106,109,112,118,122,125,128,135,138,142
79,97,97,97,97,97,97,100,106,109,112,118,122,125,128,135,138,142
80,97,97,97,97,97,97,100,106,109,112,118,122,125,128,135,138,142
81,97,97,97,97,97,97,100,106,109,112,118,122,125,128,135,138,142
82,100,100,100,100,100,100,103,109,112,115,122,125,128,132,138,142,146
83,100,100,100,100,100,100,103,109,112,115,122,125,128,132,138,142,146
84,100,100,100,100,100,100,103,109,112,115,122,125,128,132,138,142,146
85,100,100,100,100,100,100,103,109,112,115,122,125,128,132,138,142,146
86,100,100,100,100,100,100,103,109,112,115,122,125,128,132,138,142,146
87,100,100,100,100,100,100,103,109,112,115,122,125,128,132,138,142,146
88,100,100,100,100,100,100,103,109,112,115,122,125,128,132,138,142,146
89,100,100,100,100,100,100,103,109,112,115,122,125,128,132,138,142,146
