TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
1,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
2,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
3,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
4,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
5,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
6,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
7,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
8,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
9,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
10,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
11,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
12,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
13,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
14,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
15,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
16,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
17,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
18,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
19,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
20,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
21,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
22,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
23,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
24,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
25,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
26,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
27,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
28,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
29,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
30,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
31,40,40,40,40,40,40,43,49,53,56,64,68,72,75,82,85,88
32,43,43,43,43,43,43,46,53,56,60,68,72,75,79,85,88,91
33,43,43,43,43,43,43,46,53,56,60,68,72,75,79,85,88,91
34,43,43,43,43,43,43,46,53,56,60,68,72,75,79,85,88,91
35,46,46,46,46,46,46,49,56,60,64,72,75,79,82,88,91,94
36,46,46,46,46,46,46,49,56,60,64,72,75,79,82,88,91,94
37,46,46,46,46,46,46,49,56,60,64,72,75,79,82,88,91,94
38,49,49,49,49,49,49,53,60,64,68,75,79,82,85,91,94,97
39,49,49,49,49,49,49,53,60,64,68,75,79,82,85,91,94,97
